0.006141511538740376 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 2, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.5, 'num_epochs': 100, 'learning_rate': 0.001, 'batch_size': 8}
0.0029056839564622476 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 2, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.5, 'num_epochs': 100, 'learning_rate': 0.001, 'batch_size': 8, 'optimizer': Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.001
    maximize: False
    weight_decay: 0.0001
), 'scheduler': None, 'loss_function': MSELoss()}
0.002552685326222202 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 2, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.5, 'num_epochs': 100, 'learning_rate': 0.001, 'batch_size': 8, 'optimizer': Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.001
    maximize: False
    weight_decay: 0.0001
), 'loss_function': MSELoss()}
0.0018426318685042446 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.3, 'num_epochs': 100, 'learning_rate': 0.001, 'batch_size': 8, 'optimizer': Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.001
    maximize: False
    weight_decay: 0.0001
), 'loss_function': MSELoss()}
0.0011264307416397436 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 16, 'output_size': 1, 'dropout': 0.2, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    initial_lr: 0.0001
    lr: 0.0001
    maximize: False
    weight_decay: 0.0001
), 'scheduler': <torch.optim.lr_scheduler.StepLR object at 0x0000016F8D4E0050>, 'loss_function': MSELoss()}
0.0011729106181582179 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 16, 'output_size': 1, 'dropout': 0.2, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 4, 'optimizer': Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    initial_lr: 0.0001
    lr: 0.0001
    maximize: False
    weight_decay: 0.0001
), 'scheduler': <torch.optim.lr_scheduler.StepLR object at 0x0000016F8FC67EE0>, 'loss_function': MSELoss()}
0.0012412648728310034 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.5, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0.0001}, 'scheduler': {'step_size': 20, 'gamma': 0.3}, 'loss_function': MSELoss()}
0.0012069789548243943 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.3, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0.0001}, 'scheduler': {'step_size': 20, 'gamma': 0.4}, 'loss_function': MSELoss()}
0.0013124886311393661 {'sequence_length': 5, 'history': 2000, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.2, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0.0001}, 'scheduler': {'step_size': 20, 'gamma': 0.3}, 'loss_function': MSELoss()}
0.01508126068764772 {'sequence_length': 5, 'history': 2000, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 16, 'output_size': 1, 'dropout': 0.2, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0.0001}, 'scheduler': {'scheduler': <torch.optim.lr_scheduler.StepLR object at 0x0000016F849127B0>, 'step_size': 30, 'gamma': 0.2}, 'loss_function': MSELoss()}
0.0018108531013310242 {'sequence_length': 5, 'history': 2000, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.2, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0.0001}, 'scheduler': {'scheduler': <torch.optim.lr_scheduler.StepLR object at 0x0000016F8418B430>, 'step_size': 20, 'gamma': 0.4}, 'loss_function': MSELoss()}
0.0021013939777054847 {'sequence_length': 5, 'history': 2000, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.3, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0.0001}, 'scheduler': {'scheduler': 'na', 'step_size': 20, 'gamma': 0.4}, 'loss_function': MSELoss()}
0.0013065192908658808 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.3, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0.0001}, 'scheduler': {'scheduler': <torch.optim.lr_scheduler.StepLR object at 0x0000016F87E119F0>, 'step_size': 40, 'gamma': 0.3}, 'loss_function': MSELoss()}
0.0022877966557581235 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.3, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0.0001}, 'scheduler': {'scheduler': <torch.optim.lr_scheduler.StepLR object at 0x0000016F86C07B10>, 'step_size': 15, 'gamma': 0.2}, 'loss_function': MSELoss()}
0.0014858407811422286 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.3, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0.0001}, 'scheduler': {'scheduler': <torch.optim.lr_scheduler.StepLR object at 0x0000016F88E839D0>, 'step_size': 10, 'gamma': 0.6}, 'loss_function': MSELoss()}
0.0018253609815066488 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.3, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0.0001}, 'scheduler': {'scheduler': <torch.optim.lr_scheduler.StepLR object at 0x0000016F86C07570>, 'step_size': 10, 'gamma': 0.3}, 'loss_function': MSELoss()}
0.0015935913591388741 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.3, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0}, 'scheduler': {'scheduler': <torch.optim.lr_scheduler.StepLR object at 0x0000016F86C04AF0>, 'step_size': 10, 'gamma': 0.3}, 'loss_function': MSELoss()}
0.0014118568473977262 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.3, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0}, 'scheduler': {'scheduler': <torch.optim.lr_scheduler.StepLR object at 0x0000016F86C07B10>, 'step_size': 30, 'gamma': 0.1}, 'loss_function': MSELoss()}
0.0014619448053618444 {'sequence_length': 5, 'history': 1500, 'input_size': 1, 'hidden_size': 128, 'num_layers': 1, 'convolution_channels': 32, 'output_size': 1, 'dropout': 0.3, 'num_epochs': 100, 'learning_rate': 0.0001, 'batch_size': 8, 'optimizer': {'name': 'Adam', 'weight_decay': 0}, 'scheduler': {'scheduler': <torch.optim.lr_scheduler.StepLR object at 0x0000016F86C076B0>, 'step_size': 45, 'gamma': 0.1}, 'loss_function': MSELoss()}
